follower_id,followee_id,created_at
2468,3128,2023-07-10 15:51:15
1278,1508,2022-06-04 00:43:24
1839,1511,2018-11-01 16:53:36
3719,826,2024-05-21 05:16:02
762,819,2020-10-04 20:08:13
914,1855,2018-05-13 10:39:58
2730,3837,2024-10-23 03:30:07
2171,4995,2018-06-10 15:22:26
238,4307,2024-05-24 06:38:09
97,3632,2017-10-22 12:23:07
4483,4901,2021-07-24 06:13:18
3084,3099,2024-12-06 06:46:40
2565,1997,2023-10-22 05:22:20
4191,1254,2021-10-17 10:24:23
963,3951,2018-08-04 03:39:10
2559,647,2024-08-29 11:39:35
2088,2382,2021-07-22 20:43:35
3484,1753,2024-03-06 06:24:51
1998,4856,2020-10-30 15:28:50
904,4720,2016-01-22 07:32:50
817,2811,2022-10-23 14:20:57
3453,2199,2022-09-30 08:30:41
2264,1057,2020-11-22 02:27:01
4667,4963,2021-11-21 14:06:39
4084,2723,2022-04-07 03:34:20
3945,4634,2017-12-14 05:58:12
2218,4781,2018-02-10 10:44:39
1556,1973,2017-01-24 20:34:11
3483,3735,2015-06-11 02:47:00
4291,2338,2018-05-10 04:32:43
2526,4501,2024-11-18 04:11:51
555,4355,2021-07-04 17:01:18
1637,4840,2021-07-31 14:35:18
3413,2759,2021-02-09 23:14:43
1282,1308,2022-02-22 18:22:35
1704,2452,2019-05-20 08:17:55
3199,4492,2023-12-17 23:15:45
1291,2655,2016-11-06 13:04:46
1347,3991,2023-09-05 02:04:29
4717,4689,2023-07-24 02:41:46
4118,4934,2018-08-14 00:31:25
458,1310,2021-03-14 16:28:37
3595,1108,2024-06-09 12:11:52
1995,4945,2019-04-07 16:30:11
166,1609,2019-06-21 00:35:46
4249,1519,2021-06-07 00:48:00
3402,3262,2024-04-10 10:47:39
3483,3199,2015-01-23 01:51:15
218,4745,2024-08-22 14:04:59
4801,4949,2020-09-16 12:45:13
3459,3255,2016-09-16 18:50:21
929,2103,2022-12-31 10:01:50
4003,767,2023-03-02 09:31:06
2137,162,2024-07-29 05:10:17
1344,143,2018-04-04 04:18:40
99,3627,2023-07-02 12:18:23
1794,2530,2018-06-18 20:19:26
2040,4499,2022-02-15 14:44:17
1643,2703,2023-02-09 14:42:31
4266,3235,2016-07-26 16:19:16
3583,2449,2019-05-09 19:21:21
3539,1260,2018-01-23 22:39:30
4844,417,2024-09-22 15:16:48
2975,2800,2023-07-13 22:27:45
1638,1566,2021-10-21 02:51:31
4125,1822,2024-01-23 22:02:41
2624,881,2024-08-24 15:14:52
797,3182,2018-02-06 07:52:10
736,4684,2024-07-26 17:42:48
3136,4977,2017-06-11 06:33:22
1644,215,2022-10-25 13:19:33
871,3121,2022-05-13 17:37:55
819,2496,2017-10-16 02:26:00
4161,158,2024-02-22 06:34:25
1832,1445,2024-11-26 10:29:46
3802,4645,2020-02-01 00:09:52
2697,2270,2022-04-12 08:50:04
1919,1002,2016-10-26 16:07:01
3822,1152,2022-09-25 10:24:20
2838,3738,2021-03-18 09:57:47
2089,3998,2024-08-02 15:57:24
3858,3110,2021-10-04 15:44:01
3817,1656,2023-07-16 04:41:59
3594,3170,2023-01-12 10:07:26
2294,4916,2021-07-27 14:55:13
4676,2914,2016-11-10 14:38:39
28,1080,2022-05-10 20:10:14
765,300,2021-11-21 19:02:27
1949,4130,2021-10-27 08:33:48
2355,147,2024-01-16 21:43:45
2162,1120,2022-12-02 14:07:45
1128,817,2016-12-28 23:56:56
1825,4565,2017-03-24 12:50:18
1725,3737,2020-05-29 08:51:53
2701,447,2018-03-24 07:06:18
2231,2221,2022-11-05 04:25:48
1019,885,2017-11-19 15:42:10
1873,3661,2020-06-24 10:44:20
2532,3245,2019-01-11 03:14:53
3861,1268,2019-08-30 11:43:07
158,3204,2015-08-13 19:54:25
1893,960,2018-02-13 08:14:01
3213,191,2017-01-14 18:29:11
4105,585,2015-10-03 22:05:13
3165,3376,2017-05-31 15:10:35
4470,2341,2023-04-13 08:10:03
