photo_id,tag_id
19793,173
5634,63
15073,218
22972,49
14476,9
24459,19
19131,112
3914,145
8734,96
23654,55
23263,109
23275,123
2824,171
19167,54
3588,113
16859,174
2084,137
8766,223
9816,132
21152,211
10397,93
17197,65
9796,88
24927,240
7828,49
9670,163
21924,45
19739,124
17314,19
22022,99
14567,180
1758,249
7653,83
649,88
11505,4
7211,233
2185,159
4533,192
18393,129
1013,222
15581,8
22505,9
8210,81
22770,171
4394,228
20916,96
19101,181
4292,40
18472,245
24062,9
20721,65
6261,68
15862,16
6096,237
8309,205
3562,141
18726,51
15590,131
14673,37
15057,155
14933,45
12950,243
16290,250
12605,135
17355,191
21712,5
14207,237
19964,158
21334,17
20476,209
736,26
1030,249
10083,41
7354,70
11104,32
8961,105
2458,147
16309,182
23898,19
14227,130
13129,210
14452,73
1590,3
12643,116
12407,237
14517,4
19113,161
20556,238
3776,177
23942,222
18212,82
12013,48
5231,214
644,153
21805,115
13798,57
24681,4
20400,72
20564,164
6881,13
2290,247
19957,35
20275,65
3977,201
15566,171
14615,109
3556,141
20699,164
11163,58
7062,189
3276,189
16193,147
3060,197
7643,199
18996,135
400,2
23762,59
16972,37
16111,23
8457,68
3883,176
11540,92
6790,181
7528,155
4660,79
10664,197
22033,192
18889,227
16456,71
22010,190
22282,161
8545,95
19949,186
16001,149
24394,68
11341,139
2790,125
12594,113
6015,50
6633,103
13077,10
4317,16
17993,56
9351,165
12926,110
20446,78
19375,174
17960,91
20810,95
20225,170
24307,211
5538,204
12956,52
7155,186
16619,240
21799,205
21622,147
782,170
24976,131
21019,12
14789,129
2950,42
23464,119
20302,168
15463,77
9546,122
24686,176
13205,94
1744,105
22914,79
18169,208
13993,147
23509,165
16581,73
10137,53
13442,42
3975,16
12219,171
18675,108
16846,34
10327,109
4288,90
17268,97
10356,155
15748,17
17806,64
6760,85
6810,1
1515,9
13731,6
10128,169
15297,64
4721,108
2134,36
5650,6
13282,102
14626,218
5797,177
1512,207
21463,33
3237,34
7269,45
13833,167
2225,41
1036,196
13338,61
18609,105
7750,174
24215,55
21887,119
8973,214
15155,180
23673,52
1262,77
6130,190
14079,131
15155,12
16020,43
4547,242
19524,200
18379,39
4852,194
1274,189
16481,110
13674,85
9852,173
6001,229
13445,7
18146,161
17407,91
18571,66
283,245
19360,3
22474,64
2678,13
19446,202
3225,31
13270,15
573,39
14097,122
6049,6
20238,30
13836,245
10225,223
18222,14
5241,22
21205,130
11959,176
8018,171
18463,232
904,149
8193,12
15543,2
630,5
12080,116
12537,211
14710,248
15886,121
14958,133
4142,179
22790,77
3822,12
19512,194
7976,98
11967,17
2969,56
1310,103
7569,3
7784,163
23329,73
14590,91
8954,151
17186,121
21969,84
18933,164
3828,246
18576,123
3963,146
12757,154
6692,51
22866,205
21022,144
5710,15
10559,158
23055,155
3401,140
9862,98
15198,162
8015,94
22246,78
18138,213
18958,10
1371,153
15676,247
21701,18
8246,133
21226,178
3946,50
5934,231
23071,87
20228,21
21047,45
19663,95
13326,186
3325,3
22379,213
20644,100
4318,136
5272,35
3564,146
21283,207
3213,155
9943,142
23877,189
23087,200
23926,141
8081,44
9540,78
19838,156
10322,54
3661,32
11348,4
752,151
7459,87
7013,27
905,172
13997,169
14055,100
18713,120
5046,37
7051,17
22731,36
7709,178
20638,70
23735,15
456,230
555,32
14626,194
13196,80
1608,80
14718,36
17233,222
23500,148
403,120
12605,226
21750,70
20466,4
15871,228
12984,106
8238,138
16034,95
13045,183
9071,220
5598,98
3356,195
17707,79
9898,42
13020,36
21460,62
4516,213
23826,205
7395,194
4190,108
2995,86
11108,116
21609,225
7310,79
5492,153
4833,5
19095,169
3725,16
12165,143
23052,168
12875,205
22983,128
8425,7
13204,229
23443,243
6977,213
23756,204
18683,140
20969,228
12337,144
23286,44
11273,94
7943,10
19132,4
19103,75
1403,3
18970,135
16794,30
20903,166
61,185
1947,176
3592,197
19472,34
2308,211
22593,158
19617,173
13016,42
654,78
18566,80
22921,167
24687,148
15808,107
14781,19
12000,15
21666,30
16418,69
2423,18
174,131
3487,98
9641,4
12086,222
22380,196
22966,70
24913,30
5331,24
8290,164
7570,149
13138,122
15886,58
3715,199
17677,60
15969,183
4165,25
10859,247
13936,65
10904,92
20020,226
13743,136
11916,4
2201,129
4559,97
14774,15
24692,7
549,236
10258,184
10125,157
1947,135
17504,120
3408,76
8679,165
1345,163
20434,160
5731,36
13528,154
12542,204
13771,237
5171,82
14986,97
19139,136
18472,150
13086,56
22049,143
11268,233
22151,79
2706,86
13671,215
92,94
18235,243
10519,165
13666,213
3983,12
4062,74
8412,72
4894,225
23833,86
10171,96
222,49
4583,12
1416,171
5927,151
3454,27
8903,250
18785,57
14044,37
4337,138
11917,31
24258,232
8846,157
13014,225
23039,118
24786,133
3683,163
24325,20
7395,237
11983,249
20072,243
7977,149
15531,86
4616,75
11511,117
15836,182
787,5
24171,214
5326,179
3539,175
3308,185
17958,97
17481,235
21813,12
9076,183
11453,231
18184,35
11495,138
21028,160
9247,100
290,2
22399,227
16579,67
10279,90
19135,90
15673,113
9628,9
17867,235
22063,247
9272,207
10657,121
16036,162
9953,133
2881,156
21161,151
1365,151
22423,214
11275,181
15098,134
9956,207
13679,112
4695,94
11440,100
10930,28
19200,221
10276,69
18500,145
19979,144
24371,75
16182,138
14710,22
17772,109
20055,9
7720,114
947,70
8557,32
14224,115
8091,173
2602,55
2328,63
7753,141
5577,23
14600,115
21400,41
7185,187
6531,144
573,81
3470,223
16144,192
311,53
67,128
5401,171
3999,5
11958,32
18844,26
9027,69
19336,54
1607,14
210,204
18452,79
5565,160
19577,130
1519,7
11881,146
21845,74
12435,217
20732,167
15996,32
3779,65
11436,207
18618,149
24998,143
6048,125
7927,135
3790,67
19600,56
22094,78
16807,19
7687,16
6165,70
12124,120
10654,126
6386,168
21668,65
21938,238
21044,24
24579,217
4316,45
22011,15
22649,60
16191,135
21280,50
1653,38
23485,231
13701,7
6118,219
15585,2
21077,240
3077,56
18758,207
18716,60
16291,58
7051,177
15312,173
9453,128
10313,98
1819,147
16686,195
2170,1
5071,85
9266,45
1513,3
19671,76
14287,67
9218,235
2960,210
11394,237
12264,194
10230,141
7179,67
18114,241
20050,60
6365,67
6049,171
6924,81
17600,249
18458,189
21724,44
24973,95
15660,197
22587,161
14517,91
19900,104
13741,6
9279,168
20937,107
7407,62
15562,221
9394,110
10885,99
12679,81
20408,114
7606,157
3299,5
5763,235
11829,36
13611,16
7093,159
5739,73
15812,69
20256,50
19948,197
6442,150
24109,34
2266,138
8060,66
17537,199
6173,113
12667,138
8619,139
22898,69
14131,34
14707,20
18166,22
4455,95
10540,81
6167,88
15374,113
22473,197
6678,221
23569,25
1223,45
18555,71
6647,186
7128,155
17786,18
16283,138
13844,219
4812,63
362,174
796,162
21721,148
4302,79
3025,245
13711,120
5301,232
2037,122
861,239
17028,31
23366,6
5077,230
20249,63
13596,108
2295,221
3811,10
8762,25
23772,161
9357,78
2885,158
16956,245
11837,120
15008,184
12363,64
23610,171
2018,136
6414,168
19752,236
12106,157
11924,41
457,61
23382,229
3548,24
1040,51
15198,190
7385,168
7456,235
23110,27
2035,40
17224,75
21799,213
8889,113
21558,57
9441,136
17523,174
7017,234
4294,89
23312,21
8897,246
2483,162
13506,132
10789,169
11532,155
22396,155
938,15
19764,213
11062,232
4332,174
15368,81
4204,31
12886,101
6086,41
22802,76
2616,50
20604,157
10058,56
22409,2
12207,69
1073,28
22733,37
544,87
460,143
19749,136
11070,91
5207,1
5142,36
16856,167
3220,66
20165,21
10371,170
5075,37
14136,235
19660,189
17284,227
12790,209
4720,60
23734,103
18346,28
19723,85
6855,37
7949,194
19591,249
1217,223
2152,193
20722,33
17213,245
16920,209
21122,246
22884,202
23210,42
3887,32
8449,249
3193,43
24193,223
15165,109
17858,123
17855,129
22182,153
23819,23
2300,113
15084,89
12462,88
3807,76
11605,240
20796,205
2806,94
23936,66
19125,58
15945,216
8777,55
11717,186
5135,105
24236,174
15708,201
14243,196
13633,238
8555,100
9324,249
7929,225
20647,129
1562,175
17693,99
253,82
12572,44
14685,82
20203,191
21793,240
47,25
5833,122
24544,196
9033,43
2113,91
3970,167
15642,18
20436,161
17832,100
3523,69
19689,134
20496,154
20828,69
6420,144
15291,214
19953,155
10573,17
11208,225
20356,144
13507,219
19949,65
9800,4
17594,111
13328,221
1000,114
7939,228
19147,127
4834,227
11384,143
4505,174
7000,85
20943,6
23570,2
22270,179
18972,177
5403,121
11100,159
21136,166
10746,18
23178,33
3245,22
10362,13
6674,232
5139,90
5706,241
9975,36
12811,94
19580,25
20939,227
12988,235
19653,12
20457,169
10619,128
22984,40
9030,119
16692,167
1437,197
13825,92
24077,3
5155,69
629,38
10761,59
7517,137
10252,130
19062,248
23666,108
1297,142
11355,99
158,161
572,242
1449,110
22207,24
16384,78
17485,222
8772,22
15807,159
1122,125
1163,86
10586,247
21440,232
10153,48
17110,116
12030,192
20671,170
6355,9
23096,151
22863,200
10899,47
5710,110
11955,145
11141,10
